Day/hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
181,24.85643333,27.90663333,52.94613333,95.88316667,65.86473333,68.13603333,96.89376667,99.92466667,99.52333333,99.36666667,96.22003333,97.70876667,69.70383333,14.99193333,21.28553333,56.09613333,47.33493333,31.90813333,22.52393333,10.98303333,2.186666667,20.72653333,45.92373333,94.43246667
182,92.54826667,91.30613333,99.71733333,100,98.51833333,14.07423333,1.242666667,8.602533333,14.17773333,28.07273333,10.70013333,3.173333333,7.638666667,37.10253333,62.95023333,75.15093333,53.92053333,41.27013333,40.91733333,49.60293333,74.02533333,84.83973333,86.97693333,98.42053333
183,96.49713333,98.46943333,100,99.35,99.932,100,100,100,100,100,99.88,99.866,99.88733333,98.16516667,97.49143333,99.36333333,99.50733333,99.908,88.60266667,94.98666667,94.80193333,89.38813333,96.31783333,95.49196667
184,72.07563333,55.36533333,47.38533333,85.49733333,84.3648,24.22223333,20.02133333,7.069333333,22.16273333,93.31546667,93.11453333,79.74333333,69.90483333,68.13603333,47.43573333,33.35773333,21.10493333,19.04093333,10.99683333,7.162666667,2.826666667,0.4112,0.76,3.574
185,0.4656,2.136,13.68783333,15.30853333,12.67353333,11.86623333,20.02133333,26.17013333,10.67253333,46.79733333,13.43253333,33.94663333,29.91493333,33.61443333,7.862666667,16.99413333,15.12793333,9.147633333,4.745333333,6.444,5.832666667,5.398666667,5.394,4.656666667
186,0.4912,0.0208,1.098666667,41.11893333,51.50133333,71.99523333,90.064,52.37493333,71.41233333,71.85453333,59.77443333,46.52853333,76.34573333,65.12103333,22.48953333,11.25213333,24.61483333,35.54723333,38.70313333,45.40293333,38.31053333,37.69143333,91.78106667,89.91786667
187,84.38306667,98.84433333,89.44293333,100,100,100,100,100,100,100,100,100,100,99.93666667,95.82883333,85.49733333,76.10826667,47.80533333,30.97193333,49.40133333,75.59313333,91.1052,94.60633333,89.8996
188,93.352,85.38773333,95.30723333,100,100,100,100,100,100,100,100,100,100,100,74.72883333,44.15973333,38.12933333,36.66463333,15.90193333,13.48773333,11.31423333,16.29753333,27.49893333,17.74233333
189,20.70073333,40.83333333,92.16466667,96.22003333,99.66266667,94.3401,96.11136667,100,100,99.49733333,89.82653333,98.37706667,99.78266667,99.18663333,17.04573333,6.238666667,1.528,0.216,0.842666667,5.412666667,7.242,97.10566667,60.75933333,100
190,99.83733333,53.73573333,100,96.55146667,99.388,68.45763333,98.36076667,99.46866667,94.4379,99.17576667,100,96.5732,19.01513333,39.64053333,60.05583333,41.72373333,41.42133333,44.14293333,51.55173333,52.67733333,65.36223333,68.17623333,14.51583333,19.08393333
191,50.39253333,42.64773333,99.71333333,100,100,99.90333333,100,100,100,95.44306667,100,100,100,100,96.2798,84.40133333,73.56303333,87.25093333,94.13906667,94.45963333,97.7468,99.368,99.92933333,99.55733333
192,28.51063333,69.86463333,94.39443333,100,100,100,100,100,100,100,100,100,100,100,100,99.88466667,100,95.9538,78.24546667,83.46973333,94.62806667,94.95406667,94.87256667,86.10013333
193,51.65253333,44.41173333,93.00493333,99.69066667,100,100,100,100,100,100,100,100,99.85266667,70.72893333,14.88843333,12.02493333,10.17573333,10.41723333,3.346666667,0.1688,0,0.3152,6.000666667,8.995833333
